Year,Award,Movie,Nominee,Winner
2003,SHORT FILM (LIVE ACTION),Martin Strange-Hansen  Mie Andreasen,This Charming Man (Der Er En Yndig Mand),1
2003,SHORT FILM (LIVE ACTION),Fait D'Hiver,Fait D'Hiver,0
2003,SHORT FILM (LIVE ACTION),Philippe Orreindy  Thomas Gaudin,I'll Wait for the Next One... (J'Attendrai Le Suivant...),0
2003,SHORT FILM (LIVE ACTION),Steven Pasvolsky  Joe Weatherstone,Inja (Dog),0
2003,SHORT FILM (LIVE ACTION),Lexi Alexander  Alexander Buono,Johnny Flynton,0
2003,SOUND EDITING,Ethan Van der Ryn  Michael Hopkins,The Lord of the Rings: The Two Towers,1
2003,SOUND EDITING,Richard Hymns  Gary Rydstrom,Minority Report,0
2003,SOUND EDITING,Scott A. Hecker,Road to Perdition,0
2003,VISUAL EFFECTS,Jim Rygiel  Joe Letteri  Randall William Cook  Alex Funke,The Lord of the Rings: The Two Towers,1
2003,VISUAL EFFECTS,John Dykstra  Scott Stokdyk  Anthony LaMolinara  John Frazier,Spider-Man,0
2003,VISUAL EFFECTS,Rob Coleman  Pablo Helman  John Knoll  Ben Snow,Star Wars Episode II Attack of the Clones,0
2003,WRITING (ADAPTED SCREENPLAY),Screenplay by Ronald Harwood,The Pianist,1
2003,WRITING (ADAPTED SCREENPLAY),Screenplay by Peter Hedges  Chris Weitz  & Paul Weitz,About a Boy,0
2003,WRITING (ADAPTED SCREENPLAY),Screenplay by Charlie Kaufman and Donald Kaufman,Adaptation,0
2003,WRITING (ADAPTED SCREENPLAY),Screenplay by Bill Condon,Chicago,0
2003,WRITING (ADAPTED SCREENPLAY),Screenplay by David Hare,The Hours,0
2003,WRITING (ORIGINAL SCREENPLAY),Written by Pedro Almodóvar,Talk to Her,1
2003,WRITING (ORIGINAL SCREENPLAY),Written by Todd Haynes,Far from Heaven,0
2003,WRITING (ORIGINAL SCREENPLAY),Screenplay by Jay Cocks and Steve Zaillian and Kenneth Lonergan; Story by Jay Cocks,Gangs of New York,0
2003,WRITING (ORIGINAL SCREENPLAY),Written by Nia Vardalos,My Big Fat Greek Wedding,0
2003,WRITING (ORIGINAL SCREENPLAY),Written by Carlos Cuarón and Alfonso Cuarón,Y Tu Mamá También,0
2004,ACTOR IN A LEADING ROLE,Mystic River,Sean Penn,1
2004,ACTOR IN A LEADING ROLE,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0
2004,ACTOR IN A LEADING ROLE,House of Sand and Fog,Ben Kingsley,0
2004,ACTOR IN A LEADING ROLE,Cold Mountain,Jude Law,0
2004,ACTOR IN A LEADING ROLE,Lost in Translation,Bill Murray,0
2004,ACTOR IN A SUPPORTING ROLE,Mystic River,Tim Robbins,1
2004,ACTOR IN A SUPPORTING ROLE,The Cooler,Alec Baldwin,0
2004,ACTOR IN A SUPPORTING ROLE,21 Grams,Benicio Del Toro,0
2004,ACTOR IN A SUPPORTING ROLE,In America,Djimon Hounsou,0
2004,ACTOR IN A SUPPORTING ROLE,The Last Samurai,Ken Watanabe,0
2004,ACTRESS IN A LEADING ROLE,Monster,Charlize Theron,1
2004,ACTRESS IN A LEADING ROLE,Whale Rider,Keisha Castle-Hughes,0
2004,ACTRESS IN A LEADING ROLE,Something's Gotta Give,Diane Keaton,0
2004,ACTRESS IN A LEADING ROLE,In America,Samantha Morton,0
2004,ACTRESS IN A LEADING ROLE,21 Grams,Naomi Watts,0
2004,ACTRESS IN A SUPPORTING ROLE,Cold Mountain,Renée Zellweger,1
2004,ACTRESS IN A SUPPORTING ROLE,House of Sand and Fog,Shohreh Aghdashloo,0
2004,ACTRESS IN A SUPPORTING ROLE,Pieces of April,Patricia Clarkson,0
2004,ACTRESS IN A SUPPORTING ROLE,Mystic River,Marcia Gay Harden,0
2004,ACTRESS IN A SUPPORTING ROLE,Thirteen,Holly Hunter,0
2004,ANIMATED FEATURE FILM,Andrew Stanton,Finding Nemo,1
2004,ANIMATED FEATURE FILM,Aaron Blaise and Robert Walker,Brother Bear,0
2004,ANIMATED FEATURE FILM,Sylvain Chomet,The Triplets of Belleville,0
2004,CINEMATOGRAPHY,Russell Boyd,Master and Commander: The Far Side of the World,1
2004,CINEMATOGRAPHY,Cesar Charlone,City of God,0
2004,CINEMATOGRAPHY,John Seale,Cold Mountain,0
2004,CINEMATOGRAPHY,Eduardo Serra,Girl with a Pearl Earring,0
2004,CINEMATOGRAPHY,John Schwartzman,Seabiscuit,0
2004,COSTUME DESIGN,Ngila Dickson and Richard Taylor,The Lord of the Rings: The Return of the King,1
2004,COSTUME DESIGN,Dien van Straalen,Girl with a Pearl Earring,0
2004,COSTUME DESIGN,Ngila Dickson,The Last Samurai,0
2004,COSTUME DESIGN,Wendy Stites,Master and Commander: The Far Side of the World,0
2004,COSTUME DESIGN,Judianna Makovsky,Seabiscuit,0
2004,DIRECTING,Peter Jackson,The Lord of the Rings: The Return of the King,1
2004,DIRECTING,Fernando Meirelles,City of God,0
2004,DIRECTING,Sofia Coppola,Lost in Translation,0
2004,DIRECTING,Peter Weir,Master and Commander: The Far Side of the World,0
2004,DIRECTING,Clint Eastwood,Mystic River,0
2004,DOCUMENTARY (FEATURE),Errol Morris and Michael Williams,The Fog of War,1
2004,DOCUMENTARY (FEATURE),Carlos Bosch and Josep Maria Domenech,Balseros,0
2004,DOCUMENTARY (FEATURE),Andrew Jarecki and Marc Smerling,Capturing the Friedmans,0
2004,DOCUMENTARY (FEATURE),Nathaniel Kahn and Susan R. Behr,My Architect,0
2004,DOCUMENTARY (FEATURE),Sam Green and Bill Siegel,The Weather Underground,0
2004,DOCUMENTARY (SHORT SUBJECT),Maryann DeLeo,Chernobyl Heart,1
2004,DOCUMENTARY (SHORT SUBJECT),Sandy McLeod and Gini Reticker,Asylum,0
2004,DOCUMENTARY (SHORT SUBJECT),Katja Esson,Ferry Tales,0
2004,FILM EDITING,Jamie Selkirk,The Lord of the Rings: The Return of the King,1
2004,FILM EDITING,Daniel Rezende,City of God,0
2004,FILM EDITING,Walter Murch,Cold Mountain,0
2004,FILM EDITING,Lee Smith,Master and Commander: The Far Side of the World,0
2004,FILM EDITING,William Goldenberg,Seabiscuit,0
2004,FOREIGN LANGUAGE FILM,Canada,The Barbarian Invasions,1
2004,FOREIGN LANGUAGE FILM,Sweden,Evil,0
2004,FOREIGN LANGUAGE FILM,Japan,The Twilight Samurai,0
2004,FOREIGN LANGUAGE FILM,The Netherlands,Twin Sisters,0
2004,FOREIGN LANGUAGE FILM,Czech Republic,Zelary,0
2004,MUSIC (ORIGINAL SCORE),Howard Shore,The Lord of the Rings: The Return of the King,1
2004,MUSIC (ORIGINAL SCORE),Danny Elfman,Big Fish,0
2004,MUSIC (ORIGINAL SCORE),Gabriel Yared,Cold Mountain,0
2004,MUSIC (ORIGINAL SCORE),Thomas Newman,Finding Nemo,0
2004,MUSIC (ORIGINAL SCORE),James Horner,House of Sand and Fog,0
2004,MUSIC (ORIGINAL SONG),Into The West in "The Lord of the Rings: The Return of the King" Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox,The Lord of the Rings: The Return of the King,1
2004,MUSIC (ORIGINAL SONG),Belleville Rendez-vous in "The Triplets of Belleville",The Triplets of Belleville,0
2004,MUSIC (ORIGINAL SONG),A Kiss At The End Of The Rainbow in "A Mighty Wind" Music and Lyric by Michael McKean and Annette O'Toole,A Mighty Wind,0
2004,MUSIC (ORIGINAL SONG),Scarlet Tide in "Cold Mountain" Music and Lyric by T Bone Burnett and Elvis Costello,Cold Mountain,0
2004,MUSIC (ORIGINAL SONG),You Will Be My Ain True Love in "Cold Mountain" Music and Lyric by Sting,Cold Mountain,0
2004,BEST PICTURE,Barrie M. Osborne  Peter Jackson and Fran Walsh  Producers,The Lord of the Rings: The Return of the King,1
2004,BEST PICTURE,Ross Katz and Sofia Coppola  Producers,Lost in Translation,0
2004,BEST PICTURE,Samuel Goldwyn  Jr.  Peter Weir and Duncan Henderson  Producers,Master and Commander: The Far Side of the World,0
2004,BEST PICTURE,Robert Lorenz  Judie G. Hoyt and Clint Eastwood  Producers,Mystic River,0
2004,BEST PICTURE,Kathleen Kennedy  Frank Marshall and Gary Ross  Producers,Seabiscuit,0
2004,SHORT FILM (ANIMATED),Adam Elliot,Harvie Krumpet,1
2004,SHORT FILM (ANIMATED),Bud Luckey,Boundin',0
2004,SHORT FILM (ANIMATED),Dominique Monfery and Roy Edward Disney,Destino,0
2004,SHORT FILM (ANIMATED),Carlos Saldanha and John C. Donkin,Gone Nutty,0
2004,SHORT FILM (ANIMATED),Chris Hinton,Nibbles,0
2004,SHORT FILM (LIVE ACTION),Aaron Schneider and Andrew J. Sacks,Two Soldiers,1
2004,SHORT FILM (LIVE ACTION),Florian Baxmeyer,Die Rote Jacke (The Red Jacket),0
2004,SHORT FILM (LIVE ACTION),Bobby Garabedian and William Zabka,Most (The Bridge),0
2004,SHORT FILM (LIVE ACTION),Lionel Bailliu,Squash,0
2004,SHORT FILM (LIVE ACTION),Stefan Arsenijevic,(A) Torzija [(A) Torsion],0
2004,SOUND EDITING,Richard King,Master and Commander: The Far Side of the World,1
2004,SOUND EDITING,Gary Rydstrom and Michael Silvers,Finding Nemo,0
2004,SOUND EDITING,Christopher Boyes and George Watters II,Pirates of the Caribbean: The Curse of the Black Pearl,0
2004,SOUND MIXING,Christopher Boyes  Michael Semanick  Michael Hedges and Hammond Peek,The Lord of the Rings: The Return of the King,1
2004,SOUND MIXING,Andy Nelson  Anna Behlmer and Jeff Wexler,The Last Samurai,0
2004,SOUND MIXING,Paul Massey  D.M. Hemphill and Arthur Rochester,Master and Commander: The Far Side of the World,0
2004,SOUND MIXING,Christopher Boyes  David Parker  David Campbell and Lee Orloff,Pirates of the Caribbean: The Curse of the Black Pearl,0
2004,SOUND MIXING,Andy Nelson  Anna Behlmer and Tod A. Maitland,Seabiscuit,0
2004,VISUAL EFFECTS,Jim Rygiel  Joe Letteri  Randall William Cook and Alex Funke,The Lord of the Rings: The Return of the King,1
2004,VISUAL EFFECTS,Dan Sudick  Stefen Fangmeier  Nathan McGuinness and Robert Stromberg,Master and Commander: The Far Side of the World,0
2004,VISUAL EFFECTS,John Knoll  Hal Hickel  Charles Gibson and Terry Frazee,Pirates of the Caribbean: The Curse of the Black Pearl,0
2004,WRITING (ADAPTED SCREENPLAY),Screenplay by Fran Walsh  Philippa Boyens  & Peter Jackson,The Lord of the Rings: The Return of the King,1
2004,WRITING (ADAPTED SCREENPLAY),Written by Robert Pulcini & Shari Springer Berman,American Splendor,0
2004,WRITING (ADAPTED SCREENPLAY),Screenplay by Braulio Mantovani,City of God,0
2004,WRITING (ADAPTED SCREENPLAY),Screenplay by Brian Helgeland,Mystic River,0
2004,WRITING (ADAPTED SCREENPLAY),Written for the Screen by Gary Ross,Seabiscuit,0
2004,WRITING (ORIGINAL SCREENPLAY),Written by Sofia Coppola,Lost in Translation,1
2004,WRITING (ORIGINAL SCREENPLAY),Written by Denys Arcand,The Barbarian Invasions,0
2004,WRITING (ORIGINAL SCREENPLAY),Written by Steven Knight,Dirty Pretty Things,0
2004,WRITING (ORIGINAL SCREENPLAY),Screenplay by Andrew Stanton  Bob Peterson and David Reynolds; Original Story by Andrew Stanton,Finding Nemo,0
2004,WRITING (ORIGINAL SCREENPLAY),Written by Jim Sheridan  Naomi Sheridan  & Kirsten Sheridan,In America,0
2005,ACTOR IN A LEADING ROLE,Ray,Jamie Foxx,1
2005,ACTOR IN A LEADING ROLE,Hotel Rwanda,Don Cheadle,0
2005,ACTOR IN A LEADING ROLE,Finding Neverland,Johnny Depp,0
2005,ACTOR IN A LEADING ROLE,The Aviator,Leonardo DiCaprio,0
2005,ACTOR IN A LEADING ROLE,Million Dollar Baby,Clint Eastwood,0
2005,ACTOR IN A SUPPORTING ROLE,Million Dollar Baby,Morgan Freeman,1
2005,ACTOR IN A SUPPORTING ROLE,The Aviator,Alan Alda,0
2005,ACTOR IN A SUPPORTING ROLE,Sideways,Thomas Haden Church,0
2005,ACTOR IN A SUPPORTING ROLE,Collateral,Jamie Foxx,0
2005,ACTOR IN A SUPPORTING ROLE,Closer,Clive Owen,0
2005,ACTRESS IN A LEADING ROLE,Million Dollar Baby,Hilary Swank,1
2005,ACTRESS IN A LEADING ROLE,Being Julia,Annette Bening,0
2005,ACTRESS IN A LEADING ROLE,Maria Full of Grace,Catalina Sandino Moreno,0
2005,ACTRESS IN A LEADING ROLE,Vera Drake,Imelda Staunton,0
2005,ACTRESS IN A LEADING ROLE,Eternal Sunshine of the Spotless Mind,Kate Winslet,0
2005,ACTRESS IN A SUPPORTING ROLE,The Aviator,Cate Blanchett,1
2005,ACTRESS IN A SUPPORTING ROLE,Kinsey,Laura Linney,0
2005,ACTRESS IN A SUPPORTING ROLE,Sideways,Virginia Madsen,0
2005,ACTRESS IN A SUPPORTING ROLE,Hotel Rwanda,Sophie Okonedo,0
2005,ACTRESS IN A SUPPORTING ROLE,Closer,Natalie Portman,0
2005,ANIMATED FEATURE FILM,Brad Bird,The Incredibles,1
2005,ANIMATED FEATURE FILM,Bill Damaschke,Shark Tale,0
2005,ANIMATED FEATURE FILM,Andrew Adamson,Shrek 2,0
2005,CINEMATOGRAPHY,Robert Richardson,The Aviator,1
2005,CINEMATOGRAPHY,Zhao Xiaoding,House of Flying Daggers,0
2005,CINEMATOGRAPHY,Caleb Deschanel,The Passion of the Christ,0
2005,CINEMATOGRAPHY,John Mathieson,The Phantom of the Opera,0
2005,CINEMATOGRAPHY,Bruno Delbonnel,A Very Long Engagement,0
2005,COSTUME DESIGN,Sandy Powell,The Aviator,1
2005,COSTUME DESIGN,Alexandra Byrne,Finding Neverland,0
2005,COSTUME DESIGN,Colleen Atwood,Lemony Snicket's A Series of Unfortunate Events,0
2005,COSTUME DESIGN,Sharen Davis,Ray,0
2005,COSTUME DESIGN,Bob Ringwood,Troy,0
2005,DIRECTING,Clint Eastwood,Million Dollar Baby,1
2005,DIRECTING,Martin Scorsese,The Aviator,0
2005,DIRECTING,Taylor Hackford,Ray,0
2005,DIRECTING,Alexander Payne,Sideways,0
2005,DIRECTING,Mike Leigh,Vera Drake,0
2005,DOCUMENTARY (FEATURE),Ross Kauffman and Zana Briski,Born into Brothels,1
2005,DOCUMENTARY (FEATURE),Luigi Falorni and Byambasuren Davaa,The Story of the Weeping Camel,0
2005,DOCUMENTARY (FEATURE),Morgan Spurlock,Super Size Me,0
2005,DOCUMENTARY (FEATURE),Lauren Lazin and Karolyn Ali,Tupac: Resurrection,0
2005,DOCUMENTARY (FEATURE),Kirby Dick and Eddie Schmidt,Twist of Faith,0
2005,DOCUMENTARY (SHORT SUBJECT),Robert Hudson and Bobby Houston,Mighty Times: The Children's March,1
2005,DOCUMENTARY (SHORT SUBJECT),Gerardine Wurzburg,Autism Is a World,0
2005,DOCUMENTARY (SHORT SUBJECT),Hanna Polak and Andrzej Celinski,The Children of Leningradsky,0
2005,DOCUMENTARY (SHORT SUBJECT),Hubert Davis and Erin Faith Young,Hardwood,0
2005,DOCUMENTARY (SHORT SUBJECT),Oren Jacoby and Steve Kalafer,Sister Rose's Passion,0
2005,FILM EDITING,Thelma Schoonmaker,The Aviator,1
2005,FILM EDITING,Jim Miller and Paul Rubell,Collateral,0
2005,FILM EDITING,Matt Chesse,Finding Neverland,0
2005,FILM EDITING,Joel Cox,Million Dollar Baby,0
2005,FILM EDITING,Paul Hirsch,Ray,0
2005,FOREIGN LANGUAGE FILM,Spain,The Sea Inside,1
2005,FOREIGN LANGUAGE FILM,Sweden,As It Is in Heaven,0
2005,FOREIGN LANGUAGE FILM,France,The Chorus (Les Choristes),0
2005,FOREIGN LANGUAGE FILM,Germany,Downfall,0
2005,FOREIGN LANGUAGE FILM,South Africa,Yesterday,0
2005,MUSIC (ORIGINAL SCORE),Jan A.P. Kaczmarek,Finding Neverland,1
2005,MUSIC (ORIGINAL SCORE),John Williams,Harry Potter and the Prisoner of Azkaban,0
2005,MUSIC (ORIGINAL SCORE),Thomas Newman,Lemony Snicket's A Series of Unfortunate Events,0
2005,MUSIC (ORIGINAL SCORE),John Debney,The Passion of the Christ,0
2005,MUSIC (ORIGINAL SCORE),James Newton Howard,The Village,0
2005,MUSIC (ORIGINAL SONG),Music and Lyric by Jorge Drexler,The Motorcycle Diaries,1
2005,MUSIC (ORIGINAL SONG),Accidentally In Love in "Shrek 2" Music by Adam Duritz  Charles Gillingham  Jim Bogios  David Immergluck  Matthew Malley and David Bryson; Lyric by Adam Duritz and Daniel Vickrey,Shrek 2,0
2005,MUSIC (ORIGINAL SONG),Believe in "The Polar Express" Music and Lyric by Glen Ballard and Alan Silvestri,The Polar Express,0
2005,MUSIC (ORIGINAL SONG),Learn To Be Lonely in "The Phantom of the Opera" Music by Andrew Lloyd Webber; Lyric by Charles Hart,The Phantom of the Opera,0
2005,MUSIC (ORIGINAL SONG),Look To Your Path (Vois Sur Ton Chemin) in "The Chorus (Les Choristes)" Music by Bruno Coulais; Lyric by Christophe Barratier,The Chorus (Les Choristes),0
2005,BEST PICTURE,Clint Eastwood  Albert S. Ruddy and Tom Rosenberg  Producers,Million Dollar Baby,1
2005,BEST PICTURE,Michael Mann and Graham King  Producers,The Aviator,0
2005,BEST PICTURE,Richard N. Gladstein and Nellie Bellflower  Producers,Finding Neverland,0
2005,BEST PICTURE,Taylor Hackford  Stuart Benjamin and Howard Baldwin  Producers,Ray,0
2005,BEST PICTURE,Michael London  Producer,Sideways,0
2005,SHORT FILM (ANIMATED),Chris Landreth,Ryan,1
2005,SHORT FILM (ANIMATED),Sejong Park and Andrew Gregory,Birthday Boy,0
2005,SHORT FILM (ANIMATED),Jeff Fowler and Tim Miller,Gopher Broke,0
2005,SHORT FILM (ANIMATED),Bill Plympton,Guard Dog,0
2005,SHORT FILM (ANIMATED),Mike Gabriel and Baker Bloodworth,Lorenzo,0
2005,SHORT FILM (LIVE ACTION),Andrea Arnold,Wasp,1
2005,SHORT FILM (LIVE ACTION),Gary McKendry,Everything in This Country Must,0
2005,SHORT FILM (LIVE ACTION),Ashvin Kumar,Little Terrorist,0
2005,SHORT FILM (LIVE ACTION),Nacho Vigalondo,,0
2005,SHORT FILM (LIVE ACTION),Taika Waititi and Ainsley Gardiner,Two Cars| One Night,0
2005,SOUND EDITING,Michael Silvers and Randy Thom,The Incredibles,1
2005,SOUND EDITING,Randy Thom and Dennis Leonard,The Polar Express,0
2005,SOUND EDITING,Paul N.J. Ottosson,Spider-Man 2,0
2005,SOUND MIXING,Scott Millan  Greg Orloff  Bob Beemer and Steve Cantamessa,Ray,1
2005,SOUND MIXING,Tom Fleischman and Petur Hliddal,The Aviator,0
2005,SOUND MIXING,Randy Thom  Gary A. Rizzo and Doc Kane,The Incredibles,0
2005,SOUND MIXING,Randy Thom  Tom Johnson  Dennis Sands and William B. Kaplan,The Polar Express,0
2005,SOUND MIXING,Kevin O'Connell  Greg P. Russell  Jeffrey J. Haboush and Joseph Geisinger,Spider-Man 2,0
2005,VISUAL EFFECTS,John Dykstra  Scott Stokdyk  Anthony LaMolinara and John Frazier,Spider-Man 2,1
2005,VISUAL EFFECTS,Roger Guyett  Tim Burke  John Richardson and Bill George,Harry Potter and the Prisoner of Azkaban,0
2005,VISUAL EFFECTS,John Nelson  Andrew R. Jones  Erik Nash and Joe Letteri,I| Robot,0
2005,WRITING (ADAPTED SCREENPLAY),Screenplay by Alexander Payne & Jim Taylor,Sideways,1
2005,WRITING (ADAPTED SCREENPLAY),Screenplay by Richard Linklater  Julie Delpy  & Ethan Hawke; Story by Richard Linklater & Kim Krizan,Before Sunset,0
2005,WRITING (ADAPTED SCREENPLAY),Screenplay by David Magee,Finding Neverland,0
2005,WRITING (ADAPTED SCREENPLAY),Screenplay by Paul Haggis,Million Dollar Baby,0
2005,WRITING (ADAPTED SCREENPLAY),Screenplay by José Rivera,The Motorcycle Diaries,0
2005,WRITING (ORIGINAL SCREENPLAY),Screenplay by Charlie Kaufman; Story by Charlie Kaufman  Michel Gondry  & Pierre Bismuth,Eternal Sunshine of the Spotless Mind,1
2005,WRITING (ORIGINAL SCREENPLAY),Written by John Logan,The Aviator,0
2005,WRITING (ORIGINAL SCREENPLAY),Written by Keir Pearson & Terry George,Hotel Rwanda,0
2005,WRITING (ORIGINAL SCREENPLAY),Written by Brad Bird,The Incredibles,0
2005,WRITING (ORIGINAL SCREENPLAY),Written by Mike Leigh,Vera Drake,0
2006,ACTOR IN A LEADING ROLE,Capote,Philip Seymour Hoffman,1
2006,ACTOR IN A LEADING ROLE,Hustle & Flow,Terrence Howard,0
2006,ACTOR IN A LEADING ROLE,Brokeback Mountain,Heath Ledger,0
2006,ACTOR IN A LEADING ROLE,Walk the Line,Joaquin Phoenix,0
2006,ACTOR IN A LEADING ROLE,Good Night  and Good Luck.,David Strathairn,0
2006,ACTOR IN A SUPPORTING ROLE,Syriana,George Clooney,1
2006,ACTOR IN A SUPPORTING ROLE,Crash,Matt Dillon,0
2006,ACTOR IN A SUPPORTING ROLE,Cinderella Man,Paul Giamatti,0
2006,ACTOR IN A SUPPORTING ROLE,Brokeback Mountain,Jake Gyllenhaal,0
2006,ACTOR IN A SUPPORTING ROLE,A History of Violence,William Hurt,0
2006,ACTRESS IN A LEADING ROLE,Walk the Line,Reese Witherspoon,1
2006,ACTRESS IN A LEADING ROLE,Mrs. Henderson Presents,Judi Dench,0
2006,ACTRESS IN A LEADING ROLE,Transamerica,Felicity Huffman,0
2006,ACTRESS IN A LEADING ROLE,Pride & Prejudice,Keira Knightley,0
2006,ACTRESS IN A LEADING ROLE,North Country,Charlize Theron,0
2006,ACTRESS IN A SUPPORTING ROLE,The Constant Gardener,Rachel Weisz,1
2006,ACTRESS IN A SUPPORTING ROLE,Junebug,Amy Adams,0
2006,ACTRESS IN A SUPPORTING ROLE,Capote,Catherine Keener,0
2006,ACTRESS IN A SUPPORTING ROLE,North Country,Frances McDormand,0
2006,ACTRESS IN A SUPPORTING ROLE,Brokeback Mountain,Michelle Williams,0
2006,ANIMATED FEATURE FILM,Nick Park and Steve Box,Wallace & Gromit in The Curse of the Were-Rabbit,1
2006,ANIMATED FEATURE FILM,Hayao Miyazaki,Howl's Moving Castle,0
2006,ANIMATED FEATURE FILM,Mike Johnson and Tim Burton,Tim Burton's Corpse Bride,0
2006,CINEMATOGRAPHY,Dion Beebe,Memoirs of a Geisha,1
2006,CINEMATOGRAPHY,Wally Pfister,Batman Begins,0
2006,CINEMATOGRAPHY,Rodrigo Prieto,Brokeback Mountain,0
2006,CINEMATOGRAPHY,Robert Elswit,Good Night| and Good Luck.,0
2006,CINEMATOGRAPHY,Emmanuel Lubezki,The New World,0
2006,COSTUME DESIGN,Colleen Atwood,Memoirs of a Geisha,1
2006,COSTUME DESIGN,Gabriella Pescucci,Charlie and the Chocolate Factory,0
2006,COSTUME DESIGN,Sandy Powell,Mrs. Henderson Presents,0
2006,COSTUME DESIGN,Jacqueline Durran,Pride & Prejudice,0
2006,COSTUME DESIGN,Arianne Phillips,Walk the Line,0
2006,DIRECTING,Ang Lee,Brokeback Mountain,1
2006,DIRECTING,Bennett Miller,Capote,0
2006,DIRECTING,Paul Haggis,Crash,0
2006,DIRECTING,George Clooney,Good Night| and Good Luck.,0
2006,DIRECTING,Steven Spielberg,Munich,0
2006,DOCUMENTARY (FEATURE),Luc Jacquet and Yves Darondeau,March of the Penguins,1
2006,DOCUMENTARY (FEATURE),Hubert Sauper,Darwin's Nightmare,0
2006,DOCUMENTARY (FEATURE),Alex Gibney and Jason Kliot,Enron: The Smartest Guys in the Room,0
2006,DOCUMENTARY (FEATURE),Henry-Alex Rubin and Dana Adam Shapiro,Murderball,0
2006,DOCUMENTARY (FEATURE),Marshall Curry,Street Fight,0
2006,DOCUMENTARY (SHORT SUBJECT),Corinne Marrinan and Eric Simonson,A Note of Triumph: The Golden Age of Norman Corwin,1
2006,DOCUMENTARY (SHORT SUBJECT),Dan Krauss,The Death of Kevin Carter: Casualty of the Bang Bang Club,0
2006,DOCUMENTARY (SHORT SUBJECT),Kimberlee Acquaro and Stacy Sherman,God Sleeps in Rwanda,0
2006,DOCUMENTARY (SHORT SUBJECT),Steven Okazaki,The Mushroom Club,0
2006,FILM EDITING,Hughes Winborne,Crash,1
2006,FILM EDITING,Mike Hill and Dan Hanley,Cinderella Man,0
2006,FILM EDITING,Claire Simpson,The Constant Gardener,0
2006,FILM EDITING,Michael Kahn,Munich,0
2006,FILM EDITING,Michael McCusker,Walk the Line,0
2006,FOREIGN LANGUAGE FILM,South Africa,Tsotsi,1
2006,FOREIGN LANGUAGE FILM,Italy,Don't Tell,0
2006,FOREIGN LANGUAGE FILM,France,,0
2006,FOREIGN LANGUAGE FILM,The Palestinian Territories,Paradise Now,0
2006,FOREIGN LANGUAGE FILM,Germany,Sophie Scholl - The Final Days,0
2006,MUSIC (ORIGINAL SCORE),Gustavo Santaolalla,Brokeback Mountain,1
2006,MUSIC (ORIGINAL SCORE),Alberto Iglesias,The Constant Gardener,0
2006,MUSIC (ORIGINAL SCORE),John Williams,Memoirs of a Geisha,0
2006,MUSIC (ORIGINAL SCORE),John Williams,Munich,0
2006,MUSIC (ORIGINAL SCORE),Dario Marianelli,Pride & Prejudice,0
2006,MUSIC (ORIGINAL SONG),It's Hard Out Here For A Pimp in "Hustle & Flow" Music and Lyric by Jordan Houston  Cedric Coleman and Paul Beauregard,Hustle & Flow,1
2006,MUSIC (ORIGINAL SONG),In The Deep in "Crash" Music by Kathleen "Bird" York and Michael Becker; Lyric by Kathleen "Bird" York,Crash,0
2006,MUSIC (ORIGINAL SONG),Travelin' Thru in "Transamerica" Music and Lyric by Dolly Parton,Transamerica,0
2006,BEST PICTURE,Paul Haggis and Cathy Schulman  Producers,Crash,1
2006,BEST PICTURE,Diana Ossana and James Schamus  Producers,Brokeback Mountain,0
2006,BEST PICTURE,Caroline Baron  William Vince and Michael Ohoven  Producers,Capote,0
2006,BEST PICTURE,Grant Heslov  Producer,Good Night| and Good Luck.,0
2006,BEST PICTURE,Kathleen Kennedy  Steven Spielberg and Barry Mendel  Producers,Munich,0
2006,SHORT FILM (ANIMATED),John Canemaker and Peggy Stern,The Moon and the Son: An Imagined Conversation,1
2006,SHORT FILM (ANIMATED),Sharon Colman,Badgered,0
2006,SHORT FILM (ANIMATED),Anthony Lucas,The Mysterious Geographic Explorations of Jasper Morello,0
2006,SHORT FILM (ANIMATED),Shane Acker,9,0
2006,SHORT FILM (ANIMATED),Andrew Jimenez and Mark Andrews,One Man Band,0
2006,SHORT FILM (LIVE ACTION),Martin McDonagh,Six Shooter,1
2006,SHORT FILM (LIVE ACTION),Ulrike Grote,Ausreisser (The Runaway),0
2006,SHORT FILM (LIVE ACTION),Sean Ellis and Lene Bausager,Cashback,0
2006,SHORT FILM (LIVE ACTION),The Last Farm,The Last Farm,0
2006,SHORT FILM (LIVE ACTION),Rob Pearlstein and Pia Clemente,Our Time Is Up,0
2006,SOUND EDITING,Mike Hopkins and Ethan Van der Ryn,King Kong,1
2006,SOUND EDITING,Wylie Stateman,Memoirs of a Geisha,0
2006,SOUND EDITING,Richard King,War of the Worlds,0
2006,SOUND MIXING,Christopher Boyes  Michael Semanick  Michael Hedges and Hammond Peek,King Kong,1
2006,SOUND MIXING,Terry Porter  Dean A. Zupancic and Tony Johnson,The Chronicles of Narnia: The Lion| the Witch and the Wardrobe,0
2006,SOUND MIXING,Kevin O'Connell  Greg P. Russell  Rick Kline and John Pritchett,Memoirs of a Geisha,0
2006,SOUND MIXING,Paul Massey  D.M. Hemphill and Peter F. Kurland,Walk the Line,0
2006,SOUND MIXING,Andy Nelson  Anna Behlmer and Ronald Judkins,War of the Worlds,0
